매장명,위도,경도,주소
정자동,37.363290,127.114074,경기도 성남시 분당구 정자로 82 (정자동)
판교알파돔시티,37.394263,127.109227,"경기도 성남시 분당구 판교역로 145 타워2동 1층, 138~142호 (백현동530, 알파리움)"
서판교,37.39142336810393,127.07766773828763,경기도 성남시 분당구 운중로 132 (운중동)
판교브릿지타워,37.4028887,127.0992969,경기도 성남시 분당구 판교로 227번길 6 (삼평동)
판교역로,37.39731,127.111294,경기도 성남시 분당구 판교역로 192번길 14 (삼평동)
서현,37.385855,127.125922,경기도 성남시 분당구 황새울로360번길 19 (서현동) 금화빌딩
미금역사거리,37.349605,127.108302,경기도 성남시 분당구 성남대로 151 (구미동)
수내로,37.380601,127.116578,경기도 성남시 분당구 수내로46번길 12 (수내동) 코아빌딩
정자역,37.36682377,127.1067347,"경기도 성남시 분당구 성남대로343번길 12-2 (정자동), 1~2층"
분당구청,37.38405,127.120257,경기도 성남시 분당구 분당로 43 (서현동)
뉴코아야탑,37.41041291,127.1273,"경기도 성남시 분당구 야탑로81번길 11, 뉴코아 야탑점 아울렛 1층 (야탑동)"
미금역,37.350318,127.106655,경기도 성남시 분당구 돌마로 43 (금곡동) 메디파크빌딩
수내,37.37948523,127.114173,"경기도 성남시 분당구 황새울로 234, 분당트라팰리스 (수내동)"
정자상떼뷰,37.3705048,127.10557389999997,"경기도 성남시 분당구 정자일로213번길 18 (정자동, 성원상떼뷰리젠시)"
서현미래에셋,37.38800701,127.1232512,"경기도 성남시 분당구 황새울로359번길 11, 미래에셋빌딩 1층 (서현동)"
야탑글라스,37.410845,127.129806,경기도 성남시 분당구 성남대로916번길 11 (야탑동)
정자,37.365045,127.106119,"경기도 성남시 분당구 정자일로 166, SPG센터 (정자동)"
분당서울대병원4,37.351934,127.123312,"경기도 성남시 분당구 구미로173번길 82, 분당서울대학교병원 신관 4층 (구미동)"
분당서울대병원1,37.3504033,127.12446169999998,"경기도 성남시 분당구 구미로173번길 82, 분당서울대학교병원 신관 1층 (구미동)"
서현N타운,37.386053,127.121714,경기도 성남시 분당구 황새울로335번길 5 (서현동)
서현역,37.385921,127.124098,"경기도 성남시 분당구 서현로210번길 20, 1층 (서현동)"
오리역,37.338617,127.109225,"경기도 성남시 분당구 성남대로 32, 1층 (구미동)"
분당정자,37.371675,127.107214,"경기도 성남시 분당구 성남대로 393, 두산위브파빌리온 1층 (정자동)"
수내역,37.37782763,127.1138859,"경기도 성남시 분당구 백현로101번길 30, 1-2층 (수내동)"
정자아데나,37.3608179,127.10758269999996,경기도 성남시 분당구 성남대로 275 (정자동)
분당이마트,37.35885,127.119777,경기도 성남시 분당구 불정로 134 (정자동)
판교H스퀘어,37.401375,127.108678,"경기도 성남시 분당구 판교역로 231, 에이치스퀘어 (삼평동)"
오리역삼거리,37.340016,127.108332,경기도 성남시 분당구 성남대로 45 (구미동)
판교HIPEX,37.401209,127.110666,"경기도 성남시 분당구 판교역로 230, 판교 삼환 HIPEX (삼평동)"
네이버1784,37.358774,127.105387,경기도 성남시 분당구 정자일로 95 (정자동) 네이버1784 2층
미금역2001아울렛,37.3490444,127.1074534,경기도 성남시 분당구 미금일로154번길 20 (구미동)
분당서현역AK R,37.384502,127.123266,경기도 성남시 분당구 황새울로360번길 42 (서현동)
HD현대R&D센터,37.37652,127.104384,경기도 성남시 분당구 분당수서로 477 (정자동)
분당궁내DT,37.370636,127.102071,경기도 성남시 분당구 대왕판교로 302 (궁내동)
야탑역사거리,37.4095,127.1301,경기도 성남시 분당구 야탑로 102 (야탑동)
남한산성입구역,37.4497584,127.1591956,경기도 성남시 중원구 산성대로426번길 2 (금광동)
단대오거리역,37.4433283,127.15457659999993,경기도 성남시 중원구 산성대로 340-1 (중앙동)
성남모란DT,37.42916075591734,127.13344319390397,경기도 성남시 중원구 둔촌대로 131 (성남동)
수원금곡,37.27491,126.954432,경기도 수원시 권선구 금곡로 219 (금곡동)
수원세류DT,37.262923,127.011208,경기도 수원시 권선구 권선로544번길 1 (세류동)
수원호매실,37.274375,126.941263,"경기도 수원시 권선구 서수원로577번길 305 (금곡동, 수원모아미래도센트럴타운2단지)"
수원권선DT,37.246345,126.964025,경기도 수원시 권선구 매송고색로 543 (오목천동)
수원권선,37.246668,127.030958,경기도 수원시 권선구 동수원로177번길 40 (권선동)
수원이마트,37.249907,127.021517,경기도 수원시 권선구 경수대로 270 (권선동) 2층
수원세류역DT,37.243791,127.017207,경기도 수원시 권선구 경수대로 185 (세류동)
수원롯데백화점2F,37.2641779524716,126.997293771381,경기도 수원시 권선구 세화로 134 (서둔동)
수원연무DT,37.29218,127.028729,경기도 수원시 장안구 창룡대로 171 (연무동)
북수원IC DT,37.307776,126.99833,경기도 수원시 장안구 경수대로 1038 (파장동)
수원천천,37.297286,126.982671,경기도 수원시 장안구 덕영대로535번길 46 (천천동)
